id_calle,orden_carga,nombre_calle,observacion_calle
389,388,Patricios,Juan Xxiii - Maestro Isidro Quiroga
390,389,"Scalabrini Ortiz , Raul",Juan Xxiii
391,390,"Azurduy , Juana",Juan Xxiii - Maestro Isidro Quiroga
392,391,"Rodriguez , Mariano",Juan Xxiii - Maestro Isidro Quiroga
393,392,Congreso,Juan Xxiii - Maestro Isidro Quiroga - Mario Abel Amaya
394,393,"Pedraza , Manuela",Juan Xxiii
395,394,La Nueva Provincia,Juan Xxiii - San Isidro Labrador
396,395,Carrero Patagonico,Juan Xxiii
397,396,"Rosas , Juan Manuel De",Juan Xxiii
398,397,Del Trabajo,Juan Xxiii - San Isidro Labrador
399,398,Tres Sargentos,Juan Xxiii - San Isidro Labrador
400,399,Los Damascos,Maximo Abasolo
401,400,"O'donell , Carlos",Maximo Abasolo - San Cayetano
402,401,"Franzoni , Oreste",Maximo Abasolo
403,402,"Campora , Hector",Maximo Abasolo - San Cayetano
404,403,"Small , Adela",Maximo Abasolo
405,404,"Balbin , Ricardo",Maximo Abasolo - San Cayetano
406,405,Corintos,Maximo Abasolo
407,406,"Glatigni , Placido",Maximo Abasolo
408,407,"Del Carril , Hugo",Maximo Abasolo - San Cayetano
409,408,"Porcel , Felipe",Maximo Abasolo
410,409,"Pieragnoli , Bruno",Maximo Abasolo - San Cayetano
411,410,"Cafrune , Jorge",Maximo Abasolo
412,411,"Parraviccini , Florencio",Maximo Abasolo
413,412,Cospi,Maximo Abasolo - San Cayetano
414,413,"Troilo , Anibal",Maximo Abasolo
415,414,"Girondo , Oliverio",Maximo Abasolo
416,415,"Florit , Jaime",Maximo Abasolo
417,416,"Chazarreta , Andres",Maximo Abasolo
418,417,"Borsella , Donald",Maximo Abasolo
419,418,"Garcia , Adoracion",Maximo Abasolo
420,419,"Palacios , Margarita",Maximo Abasolo
421,420,"Hernandez , Felicidad",Maximo Abasolo
422,421,"Luckiewics , Juan",Maximo Abasolo - San Cayetano
423,422,"Garces , Antonio",Maximo Abasolo - San Cayetano
424,423,"Rucci , Ignacio",Maximo Abasolo
425,424,"Lorenzo , Ramon",Maximo Abasolo
426,425,"Duarte , Eva",Maximo Abasolo
427,426,Mahuida,Maximo Abasolo - San Cayetano
428,427,Caiquen,San Cayetano - Maximo Abasolo
429,428,"Payaguala , Natalia",San Cayetano
430,429,"Ortego , Timoteo P.",Maximo Abasolo
431,430,"Davalos , Jaime",Maximo Abasolo
432,431,"Sandrini , Luis",Maximo Abasolo
433,432,"Altavista , Juan Carlos",Maximo Abasolo
434,433,"Adjuar , Alfredo",Maximo Abasolo
435,434,"Ippoliti , Abel",San Isidro Labrador
436,435,"Acha , General",San Isidro Labrador
437,436,"Moldes , Coronel",San Isidro Labrador
438,437,Combate de San Lorenzo,San Isidro Labrador
439,438,"Magallanes , Hernando De",San Isidro Labrador
440,439,"Ferrari , Laureana",San Isidro Labrador
441,440,"Agote , Luis Doctor",San Isidro Labrador
442,441,"Ortega , Jose Honorio",Maestro Isidro Quiroga - Mñor. Argimiro Daniel Moure
443,442,"Garcia , Guillermo Hugo",Maestro Isidro Quiroga
444,443,"Romero , Raul Ricardo",Maestro Isidro Quiroga
445,444,"Vazquez , Jose Daniel 1º Teniente",Maestro Isidro Quiroga
446,445,"Rementeria , Jose Raul Doctor",Maestro Isidro Quiroga
447,446,"Benitez , Julio Omar Cabo 2º",Maestro Isidro Quiroga
448,447,"Garcia , Sergio Ismael Sargento",Maestro Isidro Quiroga
449,448,"Valdez , Carlos A. Cabo Principal",Maestro Isidro Quiroga - Mñor. Argimiro Daniel Moure
450,449,"Lopez , Jorge Eduardo Marinero",Maestro Isidro Quiroga - Mñor. Argimiro Daniel Moure
451,450,"Acosta , Gumersindo Sargento Ayudante",Maestro Isidro Quiroga
452,451,"Pasteur , Luis",San Cayetano
453,452,"Guastavino , Carlos",San Cayetano
454,453,Los Ciruelos,Maximo Abasolo
455,454,"Cortes , Hernan",Centro
456,455,"Soto , Marcos",Humberto Beghin
457,456,"Lanfranco , Ernesto",Humberto Beghin
458,457,"Mujica , Roberto Hilario","Centro - "" Costanera """
459,458,"Barros Seeber , Pedro A.",Acceso Sur
460,459,"Escudero , Angel",Acceso Sur
461,460,"Fernandez , Francisco",Acceso Sur
462,461,"Riera , Rogelio",Acceso Sur
463,462,"Cura , Antonio",Acceso Sur
464,463,"Peron , Juan Domngo Presidente",Ruta Intermunicipal Comodoro Rivadavia - Rada Tilly
465,464,"Fillmore , Harrington",Acceso Sur
466,465,"Landa , Esteban",Acceso Sur
467,466,"Pessolano , Juan",Acceso Sur
